serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT1.551S,2025-05-17T18:48:44.626732,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.42,0.0,4.27,False,False,False,False,False,False,False
PT1.938S,2025-05-17T18:48:44.817086,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.42,0.0,4.27,False,False,False,False,False,False,False
PT2.326S,2025-05-17T18:48:45.025502,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.42,0.0,4.28,False,False,False,False,False,False,False
PT2.713S,2025-05-17T18:48:45.222672,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.43,0.0,4.28,False,False,False,False,False,False,False
PT3.100S,2025-05-17T18:48:45.427590,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.43,0.0,4.28,False,False,False,False,False,False,False
PT3.487S,2025-05-17T18:48:45.615268,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.43,0.0,4.28,False,False,False,False,False,False,False
PT3.875S,2025-05-17T18:48:45.717151,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.44,0.0,4.28,False,False,False,False,False,False,False
PT4.262S,2025-05-17T18:48:45.914816,34.82404692082108,213.09872922776145,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.44,0.0,4.27,False,False,False,False,False,False,False
PT4.649S,2025-05-17T18:48:46.014923,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.44,0.0,4.27,False,False,False,False,False,False,False
PT5.037S,2025-05-17T18:48:46.116111,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.44,0.0,4.27,False,False,False,False,False,False,False
PT5.424S,2025-05-17T18:48:46.217309,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.43,0.0,4.27,False,False,False,False,False,False,False
PT5.812S,2025-05-17T18:48:46.419425,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.44,0.0,4.28,False,False,False,False,False,False,False
PT6.199S,2025-05-17T18:48:46.519873,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.44,0.0,4.28,False,False,False,False,False,False,False
PT6.586S,2025-05-17T18:48:46.730081,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.44,0.0,4.28,False,False,False,False,False,False,False
PT6.973S,2025-05-17T18:48:47.120312,40.933528836754604,213.09872922776145,213.09872922776145,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.43,0.0,4.27,False,False,False,False,False,False,False
PT7.360S,2025-05-17T18:48:47.521017,40.933528836754604,212.1212121212121,213.09872922776145,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.43,0.0,4.28,False,False,False,False,False,False,False
PT7.748S,2025-05-17T18:48:47.893539,40.933528836754604,213.09872922776145,213.09872922776145,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.43,0.0,4.28,False,False,False,False,False,False,False
PT8.135S,2025-05-17T18:48:48.278410,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.43,0.0,4.27,False,False,False,False,False,False,False
PT8.522S,2025-05-17T18:48:48.667489,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.44,0.0,4.27,False,False,False,False,False,False,False
PT8.909S,2025-05-17T18:48:49.056625,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.42,0.0,4.26,False,False,False,False,False,False,False
PT9.296S,2025-05-17T18:48:49.441688,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.42,0.0,4.26,False,False,False,False,False,False,False
PT9.684S,2025-05-17T18:48:49.830756,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.41,0.0,4.26,False,False,False,False,False,False,False
PT10.072S,2025-05-17T18:48:50.220161,40.933528836754604,213.09872922776145,212.1212121212121,214.07624633431084,212.1212121212121,-127.0,-127109.0,0.0,-6.41,0.0,4.26,False,False,False,False,False,False,False
PT10.460S,2025-05-17T18:48:50.608891,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT10.848S,2025-05-17T18:48:50.997998,40.933528836754604,212.1212121212121,213.09872922776145,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.41,0.0,4.26,False,False,False,False,False,False,False
PT11.236S,2025-05-17T18:48:51.383364,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT11.625S,2025-05-17T18:48:51.772182,40.933528836754604,212.1212121212121,213.09872922776145,212.1212121212121,213.09872922776145,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT12.013S,2025-05-17T18:48:52.161331,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.41,0.0,4.27,False,False,False,False,False,False,False
PT12.401S,2025-05-17T18:48:52.550312,40.933528836754604,212.1212121212121,212.1212121212121,212.1212121212121,212.1212121212121,-127.0,-127109.0,0.0,-6.4,0.0,4.26,False,False,False,False,False,False,False
PT12.789S,2025-05-17T18:48:52.939383,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT13.178S,2025-05-17T18:48:53.328560,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.41,0.0,4.26,False,False,False,False,False,False,False
PT13.566S,2025-05-17T18:48:53.717729,40.933528836754604,212.1212121212121,213.09872922776145,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.42,0.0,4.26,False,False,False,False,False,False,False
PT13.955S,2025-05-17T18:48:54.106679,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.41,0.0,4.26,False,False,False,False,False,False,False
PT14.343S,2025-05-17T18:48:54.520970,40.933528836754604,212.1212121212121,213.09872922776145,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT14.731S,2025-05-17T18:48:54.884739,40.933528836754604,212.1212121212121,212.1212121212121,212.1212121212121,213.09872922776145,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT15.120S,2025-05-17T18:48:55.274186,40.933528836754604,213.09872922776145,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.4,0.0,4.27,False,False,False,False,False,False,False
PT15.508S,2025-05-17T18:48:55.663327,34.82404692082108,212.1212121212121,212.1212121212121,213.09872922776145,212.1212121212121,-127.0,-127109.0,0.0,-6.39,0.0,4.27,False,False,False,False,False,False,False
PT15.896S,2025-05-17T18:48:56.048018,40.933528836754604,212.1212121212121,212.1212121212121,213.09872922776145,213.09872922776145,-127.0,-127109.0,0.0,-6.4,0.0,4.28,False,False,False,False,False,False,False
