serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT1.490S,2025-05-26T16:46:13.623101,-449.5967741935484,-235.96041055718476,-237.4633431085044,-237.4633431085044,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT1.661S,2025-05-26T16:46:13.822172,-449.5967741935484,-234.46969696969697,-234.46969696969697,-234.46969696969697,-234.46969696969697,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT1.832S,2025-05-26T16:46:14.022388,-412.26783968719457,-235.96041055718476,-237.4633431085044,-235.96041055718476,-237.4633431085044,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.003S,2025-05-26T16:46:14.222205,-449.5967741935484,-235.96041055718476,-234.46969696969697,-234.46969696969697,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.174S,2025-05-26T16:46:14.424724,-449.5967741935484,-237.4633431085044,-237.4633431085044,-237.4633431085044,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.347S,2025-05-26T16:46:14.624458,-449.5967741935484,-234.46969696969697,-234.46969696969697,-234.46969696969697,-234.46969696969697,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.516S,2025-05-26T16:46:14.823188,-412.26783968719457,-237.4633431085044,-237.4633431085044,-235.96041055718476,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.689S,2025-05-26T16:46:15.022760,-449.5967741935484,-235.96041055718476,-234.46969696969697,-234.46969696969697,-234.46969696969697,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.860S,2025-05-26T16:46:15.222912,-449.5967741935484,-237.4633431085044,-235.96041055718476,-235.96041055718476,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.031S,2025-05-26T16:46:15.423121,-449.5967741935484,-234.46969696969697,-235.96041055718476,-234.46969696969697,-234.46969696969697,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.202S,2025-05-26T16:46:15.625766,-486.864613880743,-235.96041055718476,-235.96041055718476,-235.96041055718476,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.373S,2025-05-26T16:46:15.826158,-412.26783968719457,-235.96041055718476,-235.96041055718476,-237.4633431085044,-237.4633431085044,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.544S,2025-05-26T16:46:16.023427,-412.26783968719457,-235.96041055718476,-235.96041055718476,-235.96041055718476,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.715S,2025-05-26T16:46:16.222315,-486.864613880743,-235.96041055718476,-235.96041055718476,-234.46969696969697,-234.46969696969697,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.886S,2025-05-26T16:46:16.423756,-449.5967741935484,-237.4633431085044,-235.96041055718476,-235.96041055718476,-235.96041055718476,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
