serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT1.551S,2025-05-17T18:25:13.254925,134375.0,43200.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-1.56,0.0,-3.98,False,False,False,False,False,False,False
PT1.938S,2025-05-17T18:25:14.586470,134375.0,43200.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-1.59,0.0,-3.78,False,False,False,False,False,False,False
PT2.326S,2025-05-17T18:25:14.753782,133125.0,43000.0,43000.0,43000.0,43000.0,-127.0,-12108.0,0.0,-1.3,0.0,-4.02,False,False,False,False,False,False,False
PT2.713S,2025-05-17T18:25:14.954344,133125.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12107.0,0.0,-1.43,0.0,-3.76,False,False,False,False,False,False,False
PT3.100S,2025-05-17T18:25:15.156457,134375.0,43000.0,43000.0,43000.0,43000.0,-127.0,-12108.0,0.0,-1.5,0.0,-3.76,False,False,False,False,False,False,False
PT3.487S,2025-05-17T18:25:15.355329,133125.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12107.0,0.0,-1.46,0.0,-3.89,False,False,False,False,False,False,False
PT3.874S,2025-05-17T18:25:15.559181,134375.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-1.32,0.0,-3.87,False,False,False,False,False,False,False
PT4.262S,2025-05-17T18:25:15.756579,133125.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-2.08,0.0,-4.67,False,False,False,False,False,False,False
PT4.649S,2025-05-17T18:25:15.954050,134375.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-2.62,0.0,-4.15,False,False,False,False,False,False,False
PT5.037S,2025-05-17T18:25:16.155443,134375.0,43000.0,43000.0,43200.0,43200.0,-127.0,-12108.0,0.0,-2.02,0.0,-4.0,False,False,False,False,False,False,False
PT5.424S,2025-05-17T18:25:16.285822,134375.0,42800.0,43000.0,43000.0,43000.0,-127.0,-12108.0,0.0,-2.21,0.0,-8.6,False,False,False,False,False,False,False
PT5.811S,2025-05-17T18:25:16.409161,134375.0,43000.0,43000.0,43200.0,43000.0,-127.0,-1108.0,0.0,-6.07,0.0,-17.21,False,False,False,False,False,False,False
PT6.199S,2025-05-17T18:25:16.609721,134375.0,43000.0,43200.0,43200.0,43000.0,-127.0,-12108.0,0.0,-5.54,0.0,-2.15,False,False,False,False,False,False,False
PT6.586S,2025-05-17T18:25:16.808779,133125.0,43000.0,42800.0,43200.0,43000.0,-127.0,-12108.0,0.0,-6.43,0.0,-4.13,False,False,False,False,False,False,False
PT6.973S,2025-05-17T18:25:17.005840,134375.0,43000.0,43000.0,43000.0,43200.0,-127.0,-12108.0,0.0,-5.06,0.0,-2.62,False,False,False,False,False,False,False
PT7.360S,2025-05-17T18:25:17.108278,134375.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-4.09,0.0,-3.85,False,False,False,False,False,False,False
PT7.747S,2025-05-17T18:25:17.208832,134375.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12107.0,0.0,-4.56,0.0,-4.87,False,False,False,False,False,False,False
PT8.135S,2025-05-17T18:25:17.413691,133125.0,43000.0,43000.0,43200.0,43000.0,-127.0,-12108.0,0.0,-2.67,0.0,-4.29,False,False,False,False,False,False,False
