serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT1.490S,2025-05-26T16:48:55.968086,28.71,10.26,11.49,11.49,11.49,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT1.661S,2025-05-26T16:48:56.963603,22.61,11.49,11.49,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT1.832S,2025-05-26T16:48:57.958724,28.71,12.71,12.71,11.49,11.49,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.003S,2025-05-26T16:48:58.537880,28.71,12.71,10.26,11.49,10.26,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.174S,2025-05-26T16:48:58.726649,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.347S,2025-05-26T16:48:58.920703,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.516S,2025-05-26T16:48:59.022839,28.71,11.49,11.49,11.49,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.689S,2025-05-26T16:48:59.220301,22.61,11.49,11.49,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT2.860S,2025-05-26T16:48:59.424715,34.82,10.26,10.26,11.49,11.49,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.031S,2025-05-26T16:48:59.620243,28.71,11.49,10.26,10.26,10.26,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.202S,2025-05-26T16:48:59.722141,28.71,12.71,11.49,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.373S,2025-05-26T16:48:59.921871,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.544S,2025-05-26T16:49:00.023145,22.61,11.49,11.49,11.49,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.715S,2025-05-26T16:49:00.224821,28.71,11.49,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT3.886S,2025-05-26T16:49:00.425005,22.61,11.49,11.49,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT4.058S,2025-05-26T16:49:00.722647,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT4.228S,2025-05-26T16:49:00.825408,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT4.400S,2025-05-26T16:49:01.024743,28.71,11.49,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT4.570S,2025-05-26T16:49:01.224559,28.71,11.49,11.49,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT4.742S,2025-05-26T16:49:01.424036,34.82,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT4.913S,2025-05-26T16:49:01.625374,28.71,12.71,11.49,10.26,11.49,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT5.084S,2025-05-26T16:49:01.822968,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT5.255S,2025-05-26T16:49:02.028109,22.61,11.49,11.49,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT5.426S,2025-05-26T16:49:02.222631,28.71,12.71,12.71,12.71,12.71,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
PT5.597S,2025-05-26T16:49:02.423687,28.71,12.71,11.49,11.49,11.49,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False
