serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT1.551S,2025-05-17T18:43:57.582000,135625.0,43400.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.37,0.0,4.6,False,False,False,False,False,False,False
PT1.938S,2025-05-17T18:43:57.721137,135625.0,43400.0,43600.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.35,0.0,4.6,False,False,False,False,False,False,False
PT2.326S,2025-05-17T18:43:57.822608,135625.0,43600.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.35,0.0,4.6,False,False,False,False,False,False,False
PT2.713S,2025-05-17T18:43:58.023497,135625.0,43400.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.33,0.0,4.6,False,False,False,False,False,False,False
PT3.100S,2025-05-17T18:43:58.224984,135625.0,43600.0,43400.0,43600.0,43400.0,-127.0,-127109.0,0.0,-6.31,0.0,4.61,False,False,False,False,False,False,False
PT3.487S,2025-05-17T18:43:58.426671,135625.0,43400.0,43600.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.35,0.0,4.6,False,False,False,False,False,False,False
PT3.875S,2025-05-17T18:43:58.626063,135625.0,43600.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.36,0.0,4.61,False,False,False,False,False,False,False
PT4.262S,2025-05-17T18:43:58.824829,135625.0,43400.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.34,0.0,4.61,False,False,False,False,False,False,False
PT4.649S,2025-05-17T18:43:59.021692,135625.0,43600.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.35,0.0,4.59,False,False,False,False,False,False,False
PT5.037S,2025-05-17T18:43:59.374604,135625.0,43400.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.38,0.0,4.59,False,False,False,False,False,False,False
PT5.424S,2025-05-17T18:43:59.763553,135625.0,43400.0,43600.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.33,0.0,4.62,False,False,False,False,False,False,False
PT5.812S,2025-05-17T18:44:00.315558,135625.0,43400.0,43400.0,43600.0,43600.0,-127.0,-127109.0,0.0,-6.33,0.0,4.6,False,False,False,False,False,False,False
PT6.199S,2025-05-17T18:44:00.537598,135625.0,43400.0,43400.0,43600.0,43400.0,-127.0,-127109.0,0.0,-6.36,0.0,4.59,False,False,False,False,False,False,False
