serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT4.666S,2025-05-17T10:51:09.146940,103.0,158.0,50.0,127.0,53.0,-127.0,-127.001,0.0,0.85,0.0,1.16,False,False,False,False,False,False,False
PT5.246S,2025-05-17T10:51:10.144521,103.0,163.0,51.0,117.0,53.0,-127.0,-127.001,0.0,0.9,0.0,1.19,False,False,False,False,False,False,False
PT6.329S,2025-05-17T10:51:11.145741,103.0,179.0,51.0,127.0,54.0,-127.0,-127.001,0.0,0.93,0.0,1.21,False,False,False,False,False,False,False
PT9.417S,2025-05-17T10:51:13.712741,103.0,170.0,50.0,114.0,53.0,-127.0,-127.001,0.0,0.84,0.0,1.2,False,False,False,False,False,False,False
PT9.999S,2025-05-17T10:51:14.294369,103.0,182.0,51.0,132.0,54.0,-127.0,-127.001,0.0,0.89,0.0,1.24,False,False,False,False,False,False,False
PT10.579S,2025-05-17T10:51:14.880208,103.0,164.0,51.0,118.0,53.0,-127.0,-127.001,0.0,0.89,0.0,1.26,False,False,False,False,False,False,False
PT11.663S,2025-05-17T10:51:15.961376,103.0,159.0,50.0,122.0,53.0,-127.0,-127.001,0.0,0.97,0.0,1.37,False,False,False,False,False,False,False
PT12.246S,2025-05-17T10:51:16.547107,103.0,167.0,51.0,123.0,54.0,-127.0,-127.001,0.0,0.92,0.0,1.37,False,False,False,False,False,False,False
PT12.827S,2025-05-17T10:51:17.128376,103.0,163.0,50.0,121.0,54.0,-127.0,-127.001,0.0,0.9,0.0,1.33,False,False,False,False,False,False,False
PT13.911S,2025-05-17T10:51:18.213762,103.0,175.0,50.0,139.0,54.0,-127.0,-127.001,0.0,0.96,0.0,1.37,False,False,False,False,False,False,False
PT14.493S,2025-05-17T10:51:19.147976,103.0,194.0,50.0,144.0,54.0,-127.0,-127.001,0.0,0.98,0.0,1.34,False,False,False,False,False,False,False
PT15.075S,2025-05-17T10:51:20.146369,103.0,194.0,50.0,144.0,53.0,-127.0,-127.001,0.0,0.99,0.0,1.32,False,False,False,False,False,False,False
PT16.158S,2025-05-17T10:51:21.143985,103.0,179.0,50.0,134.0,53.0,-127.0,-127.001,0.0,0.94,0.0,1.27,False,False,False,False,False,False,False
PT16.741S,2025-05-17T10:51:22.148028,103.0,170.0,51.0,124.0,53.0,-127.0,-127.001,0.0,0.85,0.0,1.25,False,False,False,False,False,False,False
PT17.323S,2025-05-17T10:51:23.145759,103.0,170.0,50.0,114.0,53.0,-127.0,-127.001,0.0,0.84,0.0,1.24,False,False,False,False,False,False,False
PT18.406S,2025-05-17T10:51:24.146693,103.0,173.0,51.0,115.0,54.0,-127.0,-127.001,0.0,0.92,0.0,1.31,False,False,False,False,False,False,False
PT18.989S,2025-05-17T10:51:25.149152,103.0,187.0,50.0,108.0,54.0,-127.0,-127.001,0.0,0.9,0.0,1.34,False,False,False,False,False,False,False
PT20.072S,2025-05-17T10:51:26.143841,103.0,194.0,51.0,133.0,54.0,-127.0,-127.001,0.0,0.9,0.0,1.35,False,False,False,False,False,False,False
PT20.654S,2025-05-17T10:51:27.146761,103.0,185.0,51.0,140.0,53.0,-127.0,-127.001,0.0,0.95,0.0,1.36,False,False,False,False,False,False,False
PT21.236S,2025-05-17T10:51:28.147418,103.0,168.0,51.0,132.0,53.0,-127.0,-127.001,0.0,0.99,0.0,1.34,False,False,False,False,False,False,False
PT22.320S,2025-05-17T10:51:29.146562,103.0,164.0,50.0,126.0,54.0,-127.0,-127.001,0.0,0.97,0.0,1.35,False,False,False,False,False,False,False
PT22.901S,2025-05-17T10:51:30.150289,103.0,168.0,50.0,118.0,53.0,-127.0,-127.001,0.0,0.97,0.0,1.33,False,False,False,False,False,False,False
