serial_timestamp,computer_timestamp,pt_1,pt_2,pt_3,pt_4,pt_5,tc_1,tc_2,tc_3,lc_1,lc_2,lc_3,fcv_1,fcv_2,fcv_3,fcv_4,fcv_5,fcv_6,fcv_7
PT3.664S,2025-05-17T10:46:13.153101,103.0,177.0,50.0,140.0,54.0,-127.0,-127.001,0.0,0.68,0.0,1.11,False,False,False,False,False,False,False
PT4.245S,2025-05-17T10:46:14.157888,103.0,166.0,50.0,135.0,54.0,-127.0,-127.001,0.0,0.68,0.0,1.1,False,False,False,False,False,False,False
PT4.826S,2025-05-17T10:46:15.155347,103.0,157.0,50.0,132.0,53.0,-127.0,-127.001,0.0,0.72,0.0,1.12,False,False,False,False,False,False,False
PT5.909S,2025-05-17T10:46:16.156702,103.0,154.0,49.0,125.0,53.0,-127.0,-127.001,0.0,0.79,0.0,1.16,False,False,False,False,False,False,False
PT6.490S,2025-05-17T10:46:16.901838,104.0,155.0,50.0,113.0,53.0,-127.0,-127.001,0.0,0.83,0.0,1.2,False,False,False,False,False,False,False
PT7.070S,2025-05-17T10:46:17.084969,103.0,170.0,49.0,123.0,53.0,-127.0,-127.001,0.0,0.82,0.0,1.19,False,False,False,False,False,False,False
PT8.154S,2025-05-17T10:46:17.286999,103.0,176.0,50.0,131.0,53.0,-127.0,-127.001,0.0,0.76,0.0,1.16,False,False,False,False,False,False,False
PT8.734S,2025-05-17T10:46:17.540654,103.0,176.0,50.0,141.0,53.0,-127.0,-127.001,0.0,0.67,0.0,1.07,False,False,False,False,False,False,False
PT9.315S,2025-05-17T10:46:18.122090,103.0,167.0,49.0,140.0,53.0,-127.0,-127.001,0.0,0.66,0.0,1.08,False,False,False,False,False,False,False
PT10.398S,2025-05-17T10:46:21.543641,103.0,157.0,50.0,132.0,53.0,-127.0,-127.001,0.0,0.66,0.0,1.09,False,False,False,False,False,False,False
PT10.980S,2025-05-17T10:46:21.644035,103.0,154.0,49.0,128.0,54.0,-127.0,-127.001,0.0,0.67,0.0,1.09,False,False,False,False,False,False,False
PT12.063S,2025-05-17T10:46:21.745935,103.0,155.0,49.0,113.0,53.0,-127.0,-127.001,0.0,0.63,0.0,1.07,False,False,False,False,False,False,False
PT12.646S,2025-05-17T10:46:21.945594,103.0,170.0,49.0,121.0,53.0,-127.0,-127.001,0.0,0.75,0.0,1.12,False,False,False,False,False,False,False
PT13.228S,2025-05-17T10:46:22.046417,103.0,177.0,50.0,129.0,54.0,-127.0,-127.001,0.0,0.79,0.0,1.16,False,False,False,False,False,False,False
PT14.311S,2025-05-17T10:46:23.143121,103.0,179.0,50.0,139.0,53.0,-127.0,-127.001,0.0,0.81,0.0,1.16,False,False,False,False,False,False,False
PT14.894S,2025-05-17T10:46:23.708696,103.0,170.0,49.0,140.0,53.0,-127.0,-127.001,0.0,0.81,0.0,1.16,False,False,False,False,False,False,False
PT15.475S,2025-05-17T10:46:24.290105,104.0,160.0,50.0,131.0,53.0,-127.0,-127.001,0.0,0.67,0.0,1.06,False,False,False,False,False,False,False
PT16.559S,2025-05-17T10:46:25.375711,103.0,159.0,50.0,123.0,54.0,-127.0,-127.001,0.0,0.68,0.0,1.07,False,False,False,False,False,False,False
PT17.141S,2025-05-17T10:46:25.957404,103.0,162.0,50.0,112.0,53.0,-127.0,-127.001,0.0,0.66,0.0,1.07,False,False,False,False,False,False,False
PT17.723S,2025-05-17T10:46:26.542763,103.0,177.0,50.0,122.0,54.0,-127.0,-127.001,0.0,0.68,0.0,1.05,False,False,False,False,False,False,False
PT18.806S,2025-05-17T10:46:27.628203,103.0,182.0,49.0,129.0,54.0,-127.0,-127.001,0.0,0.66,0.0,1.03,False,False,False,False,False,False,False
PT19.389S,2025-05-17T10:46:28.209635,103.0,180.0,50.0,137.0,54.0,-127.0,-127.001,0.0,0.72,0.0,1.07,False,False,False,False,False,False,False
PT19.971S,2025-05-17T10:46:28.791586,103.0,168.0,49.0,136.0,53.0,-127.0,-127.001,0.0,0.78,0.0,1.13,False,False,False,False,False,False,False
PT21.054S,2025-05-17T10:46:29.876702,103.0,158.0,49.0,129.0,54.0,-127.0,-127.001,0.0,0.79,0.0,1.14,False,False,False,False,False,False,False
PT21.637S,2025-05-17T10:46:30.458408,104.0,158.0,50.0,122.0,54.0,-127.0,-127.001,0.0,0.8,0.0,1.15,False,False,False,False,False,False,False
PT22.218S,2025-05-17T10:46:31.044170,103.0,162.0,49.0,116.0,54.0,-127.0,-127.001,0.0,0.67,0.0,1.05,False,False,False,False,False,False,False
PT23.302S,2025-05-17T10:46:32.125255,104.0,174.0,49.0,125.0,53.0,-127.0,-127.001,0.0,0.66,0.0,1.04,False,False,False,False,False,False,False
PT23.884S,2025-05-17T10:46:32.748230,103.0,177.0,49.0,131.0,53.0,-127.0,-127.001,0.0,0.65,0.0,1.04,False,False,False,False,False,False,False
PT24.466S,2025-05-17T10:46:34.153434,104.0,176.0,49.0,143.0,54.0,-127.0,-127.001,0.0,0.65,0.0,1.05,False,False,False,False,False,False,False
PT25.549S,2025-05-17T10:46:34.377924,103.0,163.0,49.0,137.0,53.0,-127.0,-127.001,0.0,0.66,0.0,1.06,False,False,False,False,False,False,False
PT26.132S,2025-05-17T10:46:34.959373,103.0,155.0,50.0,128.0,53.0,-127.0,-127.001,0.0,0.74,0.0,1.12,False,False,False,False,False,False,False
PT27.215S,2025-05-17T10:46:36.044806,103.0,154.0,50.0,118.0,53.0,-127.0,-127.001,0.0,0.78,0.0,1.15,False,False,False,False,False,False,False
PT27.798S,2025-05-17T10:46:36.626426,103.0,160.0,50.0,112.0,54.0,-127.0,-127.001,0.0,0.81,0.0,1.15,False,False,False,False,False,False,False
PT28.380S,2025-05-17T10:46:37.253071,103.0,172.0,49.0,123.0,54.0,-127.0,-127.001,0.0,0.83,0.0,1.18,False,False,False,False,False,False,False
PT29.463S,2025-05-17T10:46:38.355234,103.0,176.0,49.0,132.0,53.0,-127.0,-127.001,0.0,0.68,0.0,1.07,False,False,False,False,False,False,False
PT30.046S,2025-05-17T10:46:38.879595,103.0,173.0,50.0,142.0,53.0,-127.0,-127.001,0.0,0.67,0.0,1.08,False,False,False,False,False,False,False
